Month,AUD_LKR,GBP_LKR,JPY_LKR,KWD_LKR,USD_LKR
2010-05,101.89959999999999,168.35478,1.22542,392.53478,113.67406000000001
2010-06,97.00064,166.60386,1.2429000000000001,380.97294,113.63258
2010-07,98.3781,172.437925,1.29115,391.245975,113.001475
2010-08,100.52629999999999,174.8146,1.3250333333333335,390.8744,112.56143333333334
2010-09,106.193525,175.1831,1.3326,392.43735,112.501725
2010-10,110.5399,177.0564,1.3672,396.1547,111.9335
2010-11,110.8516625,178.7428625,1.353175,397.49255,111.546625
2011-01,110.13669999999999,176.589375,1.34655,396.93515,110.9775
2011-02,112.02787777777777,178.5890111111111,1.342,396.92525555555557,110.97198888888889
2011-03,111.3562125,178.0677,1.35285,397.62078125,110.3256
2011-04,116.61951428571429,180.31414999999998,1.3260857142857143,399.1363,110.28386428571427
2011-05,117.493025,179.576925,1.3548875,399.1544,109.7908125
2011-06,116.26974117647057,177.95061764705883,1.3603588235294117,399.39294705882355,109.59967647058824
2011-07,117.880855,176.66694,1.378,399.73148499999996,109.50242
2011-08,115.33131578947369,179.65967368421053,1.422742105263158,402.89805789473684,109.77586315789473
2011-09,112.58006666666667,173.76260555555555,1.4336055555555556,400.37688333333335,110.13361111111111
2011-10,110.14591,172.57918999999998,1.4339600000000001,399.72911,110.19713999999999
2011-11,112.92930000000001,177.27386666666666,1.4425999999999999,404.6265333333333,111.483
2011-12,115.52546666666666,177.756875,1.4635749999999998,410.90417499999995,113.89955833333333
2012-01,118.31154,176.70192,1.480625,408.87042,113.899645
2012-02,125.78033529411765,185.36231176470588,1.4951117647058823,422.9426294117647,117.40492941176471
2012-03,131.492,194.50375,1.5034,439.30909999999994,121.99170000000001
2012-04,130.1709,201.2872,1.5324,455.0817,126.6993
2012-06,132.46585,206.02315,1.6617799999999998,471.76764000000003,132.13473
2012-07,136.58486666666667,207.95776666666666,1.6757333333333333,475.7545,133.63566666666668
2012-09,137.25815,212.66468125,1.68559375,468.64550625,131.65604375
2012-10,132.91201428571426,207.47538571428572,1.636252380952381,459.4481476190476,129.12853333333334
2012-11,135.42235833333334,208.04528333333334,1.6236333333333333,462.35437499999995,130.35798333333332
2013-01,133.15930714285713,203.47285714285712,1.4324357142857143,450.3873571428571,126.8681142857143
2013-02,131.6125,200.6054,1.3782,449.3717,126.4532
2013-03,130.5182,191.0066,1.3377,448.3791,127.3038
2013-04,131.0931,191.7706,1.2978,441.5647,125.9784
2013-05,127.23859999999999,194.6402,1.2564,442.791275,126.17028
2013-06,119.72436,197.90122000000002,1.3093,447.9327,127.50396
2013-07,120.018475,200.9993,1.334825,461.3586,131.37238
2013-08,118.980895,204.00822499999998,1.34713,463.42680499999994,131.82826
2013-09,122.70540000000001,209.74504000000002,1.33519,465.65243,132.468965
2013-10,124.63176666666666,211.05854285714287,1.3398476190476192,464.2183142857143,131.09655238095237
2013-11,122.30597619047619,210.99655238095238,1.3116333333333334,463.027480952381,131.08254285714287
2013-12,117.56098,214.33013,1.26434,462.91881,130.82774
2014-01,115.65779047619047,215.44315238095237,1.2567142857142857,462.62470476190475,130.7293761904762
2014-02,117.34459411764705,216.60148235294116,1.2812411764705884,463.673894117647,130.82041176470588
2014-03,118.5174619047619,217.1223857142857,1.2771190476190477,464.0050095238095,130.62817619047618
2014-04,121.54382105263159,218.65377894736844,1.2726052631578948,464.13832105263157,130.62220000000002
2014-05,121.32218421052633,219.84922631578948,1.2815684210526315,463.45042631578946,130.45497368421053
2014-06,121.98333499999998,220.256075,1.2765900000000001,462.00334000000004,130.28733
2014-07,122.29628636363637,222.57154545454543,1.2807136363636362,461.36011818181817,130.24028636363636
